book_id,author_id
b3097,au199
b2984,au995
b2984,au89
b2982,au803
b548,au1472
b3036,au1184
b3632,au128
b3070,au533
b176,au954
b2926,au470
b3968,au56
b3285,au734
b3960,au437
b1477,au1011
b3775,au849
b3775,au1408
b3775,au861
b2715,au1148
b3883,au297
b3560,au81
b2075,au132
b1996,au911
b3528,au255
b3126,au1328
b3533,au734
b2657,au744
b2657,au747
b97,au942
b771,au1382
b3365,au1463
b2254,au1498
b216,au1447
b29,au1516
b2752,au1186
b472,au628
b3360,au1393
b3618,au665
b2339,au336
b541,au1337
b1687,au1407
b368,au938
b3322,au522
b3478,au1221
b1618,au1337
b2504,au367
b2797,au897
b921,au1437
b1786,au507
b2358,au362
b2658,au1070
b952,au1306
b1078,au1247
b2070,au1402
b2070,au279
b113,au978
b2145,au184
b2648,au208
b2671,au1269
b2598,au346
b2864,au206
b1187,au1312
b1641,au542
b959,au104
b1671,au858
b1523,au579
b2081,au1426
b231,au1217
b1826,au821
b102,au25
b1644,au964
b1741,au1377
b34,au502
b2177,au575
b2606,au1471
b1732,au412
b2558,au43
b2586,au1157
b3766,au930
b3815,au760
b1506,au1075
b3515,au177
b1445,au434
b3376,au1076
b225,au210
b3493,au791
b112,au1188
b2160,au1004
b3004,au1283
b3054,au57
b115,au502
b3759,au752
b902,au884
b3289,au286
b3807,au241
b640,au1348
b2946,au58
b2382,au1531
b2886,au157
b3290,au670
b3476,au41
b2195,au1299
b1367,au950
b1889,au346
b1791,au309
b3524,au78
b206,au280
b3139,au1345
b2766,au1459
b1587,au923
b2277,au477
b3698,au954
b1165,au1111
b1165,au1349
b1264,au1069
b64,au823
b3066,au187
b425,au453
b2340,au1438
b310,au339
b1887,au881
b965,au1473
b1489,au830
b3115,au806
b2099,au605
b2502,au461
b942,au1028
b3311,au665
b3858,au676
b3740,au870
b1275,au1030
b1466,au958
b2059,au294
b693,au1121
b1233,au840
b265,au95
b976,au964
b3030,au386
b584,au1471
b3598,au1117
b2174,au1523
b2223,au1521
b3596,au375
b11,au636
b2172,au214
b2172,au519
b2333,au848
b933,au605
b2175,au106
b1659,au267
b922,au56
b1283,au1029
b2058,au1183
b3573,au186
b1123,au1059
b2324,au326
b2767,au1007
b1633,au182
b3433,au1358
b2357,au345
b3563,au1042
b2479,au882
b3337,au199
b3196,au955
b1773,au1261
b3230,au1314
b2519,au199
b1121,au685
b1255,au374
b3026,au738
b2261,au72
b1191,au681
b3086,au1252
b3470,au109
b1972,au14
b1184,au174
b2043,au331
b2432,au1437
b3404,au1088
b2924,au618
b3973,au285
b2359,au1173
b1164,au240
b1553,au19
b359,au181
b3886,au922
b2819,au1497
b59,au199
b2965,au651
b2564,au1458
b230,au1114
b3181,au665
b2697,au203
b258,au1473
b3784,au1301
b2274,au1143
b909,au1471
b3136,au399
b1220,au866
b2537,au143
b3458,au534
b1056,au52
b2663,au1294
b2663,au15
b2663,au27
b1257,au1488
b3045,au346
b2501,au385
b568,au881
b2467,au799
b57,au447
b436,au1336
b2771,au488
b3124,au1453
b3479,au1439
b1288,au291
b1458,au663
b3160,au592
b549,au276
b2193,au1337
b1999,au241
b3847,au900
b1630,au552
b2961,au346
b3281,au693
b2539,au193
b1281,au1398
b1040,au107
b1950,au225
b2822,au211
b3939,au809
b2850,au1436
b1054,au45
b1256,au705
b3783,au928
b3250,au966
b894,au596
b2740,au1242
b755,au1058
b3546,au139
b3672,au752
b2011,au1013
b3424,au1103
b3653,au177
b3050,au1450
b1188,au924
b3484,au644
b3219,au1016
b3770,au752
b3059,au828
b3985,au56
b511,au264
b81,au363
b2724,au915
b1610,au632
b3872,au177
b2931,au492
b2818,au657
b551,au460
b1936,au668
b1135,au512
b405,au1437
b565,au1433
b619,au1449
b96,au967
b1885,au598
b1095,au182
b1064,au1498
b3318,au252
b893,au34
b2832,au204
b1237,au1304
b2900,au268
b3511,au1353
b2285,au911
b2636,au1398
b2708,au585
b1365,au742
b697,au222
b2421,au244
b2654,au953
b1863,au478
b2676,au1130
b3814,au994
b3869,au1360
b2622,au470
b711,au1457
b743,au674
b3510,au39
b517,au184
b642,au86
b3804,au1331
b2843,au1066
b1316,au299
b929,au677
b2890,au249
b2126,au1277
b213,au958
b3449,au350
b1046,au376
b2210,au393
b1656,au418
b1907,au1551
b3149,au1152
b666,au499
b1430,au1022
b33,au767
b783,au799
b3581,au475
b2630,au181
b3164,au578
b970,au523
b334,au863
b1541,au273
b3064,au673
b219,au1501
b3830,au813
b873,au1336
b500,au165
b860,au61
b713,au11
b1740,au962
b3316,au653
b116,au1353
b1739,au482
b2301,au1365
b1043,au1382
b939,au258
b3610,au1462
b3852,au1473
b2684,au398
b130,au305
b1022,au1382
b827,au258
b2651,au1474
b1007,au1094
b3808,au696
b2496,au195
b2526,au1467
b2999,au1351
b589,au1466
b2831,au1423
b2534,au11
b3871,au1178
b3871,au1232
b3871,au912
b3871,au1166
b795,au346
b3742,au757
b278,au727
b1429,au646
b2611,au1091
b2068,au199
b2897,au1018
b1817,au881
b3482,au1018
b3848,au287
b3282,au1176
b781,au1208
b2592,au146
b3203,au1406
b2986,au28
b65,au153
b599,au1140
b985,au927
b3734,au799
b131,au738
b1665,au942
b1991,au1171
b3224,au752
b3527,au1398
b2389,au976
b3229,au1279
b923,au846
b2245,au58
b710,au712
b1401,au378
b2661,au889
b1215,au50
b1285,au1460
b1762,au184
b1746,au301
b2076,au726
b1681,au1158
b2835,au124
b2975,au581
b3641,au1423
b1270,au356
b3038,au59
b1621,au1256
b2532,au1375
b3351,au522
b1162,au672
b3354,au1347
b2331,au797
b4006,au1261
b2773,au1017
b2922,au29
b1074,au217
b2275,au1143
b1556,au370
b3682,au1026
b1453,au438
b2167,au544
b1877,au161
b45,au1273
b3258,au1162
b2852,au1312
b3928,au1073
b742,au27
b2423,au648
b1832,au443
b1930,au1536
b2544,au609
b3107,au457
b220,au515
b309,au288
b3627,au1113
b1830,au1491
b820,au503
b637,au1519
b1683,au1356
b1683,au926
b1683,au802
b3150,au151
b533,au1437
b2576,au735
b1497,au962
b3116,au1497
b341,au1029
b3226,au1512
b1928,au852
b1928,au246
b3548,au1154
b4000,au1008
b2705,au595
b2579,au1391
b2579,au855
b2489,au226
b1400,au599
b2458,au1452
b3462,au665
b78,au1477
b3696,au2
b3586,au1418
b3320,au442
b2758,au359
b2051,au596
b2300,au1365
b252,au929
b345,au531
b3845,au1307
b470,au332
b3454,au58
b3997,au319
b731,au388
b1862,au518
b3505,au83
b3303,au1437
b3008,au1489
b1650,au1096
b2578,au1395
b1111,au969
b2574,au734
b592,au588
b592,au517
b204,au1184
b3266,au468
b2045,au820
b1953,au824
b321,au1494
b861,au1319
b663,au1047
b246,au132
b1320,au371
b3526,au1456
b3170,au1457
b3414,au369
b1604,au1290
b2046,au614
b1032,au1295
b1032,au1071
b2640,au1433
b2281,au1312
b2088,au240
b1552,au238
b2143,au411
b2696,au1471
b3075,au593
b1748,au1482
b2928,au425
b2379,au1437
b3489,au374
b211,au958
b2399,au384
b2962,au325
b2962,au981
b1544,au983
b1023,au1421
b1376,au881
b3084,au1032
b2434,au1496
b3785,au341
b750,au1309
b3779,au1234
b1908,au585
b3507,au757
b2664,au497
b507,au1071
b726,au38
b350,au1190
b1590,au568
b3820,au609
b2783,au346
b3112,au1122
b3296,au634
b2577,au54
b1274,au990
b1520,au1430
b1319,au1123
b1470,au1030
b1909,au546
b3235,au161
b2197,au1326
b1291,au379
b3927,au1054
b1152,au1315
b1767,au770
b3760,au714
b1431,au1522
b3954,au212
b3954,au789
b1750,au1528
b3951,au447
b2876,au298
b209,au958
b1714,au370
b1465,au1382
b3222,au388
b2381,au583
b3461,au1163
b2857,au679
b1864,au907
b3767,au857
b1781,au506
b3072,au1185
b26,au706
b3095,au1398
b2985,au1201
b3455,au534
b1545,au567
b2206,au19
b3539,au1420
b3636,au921
b3128,au1438
b1652,au1438
b1948,au127
b2103,au277
b48,au348
b2055,au255
b1853,au1290
b2665,au0
b67,au1156
b2451,au304
b546,au162
b546,au719
b3603,au46
b1705,au1438
b2168,au1458
b3862,au607
b3763,au584
b3427,au626
b2561,au1438
b2510,au1437
b2751,au757
b1083,au1388
b1036,au758
b513,au1438
b770,au1035
b414,au1337
b353,au810
b232,au611
b232,au1537
b2796,au1114
b1214,au1468
b2096,au1259
b3166,au881
b210,au958
b2739,au116
b3240,au382
b1278,au765
b2679,au1461
b2473,au1372
b1378,au527
b2019,au930
b3262,au1489
b1336,au532
b376,au749
b672,au251
b3999,au1374
b3999,au233
b2895,au710
b542,au168
b374,au559
b3671,au151
b214,au1106
b3413,au1548
b2313,au376
b1105,au460
b723,au60
b3243,au800
b2597,au1382
b2666,au1002
b52,au502
b3699,au977
b3990,au374
b3571,au654
b3799,au470
b3723,au1260
b817,au95
b56,au1085
b570,au1376
b866,au1292
b582,au1354
b3017,au11
b3211,au1366
b802,au1192
b2469,au199
b162,au81
b2989,au134
b3310,au1229
b3512,au1509
b61,au1438
b151,au730
b1467,au1161
b1921,au1098
b832,au430
b2854,au595
b2674,au1410
b2431,au901
b3798,au1333
b2954,au595
b3898,au794
b3518,au1080
b63,au1068
b400,au881
b814,au460
b1082,au538
b938,au671
b938,au625
b3312,au582
b869,au1143
b1390,au423
b2966,au300
b2966,au490
b3989,au508
b60,au439
b3090,au897
b1571,au1426
b3733,au530
b1764,au1076
b2030,au1042
b2733,au1428
b254,au929
b3676,au1436
b3137,au1387
b3694,au465
b66,au881
b3531,au480
b3906,au545
b2445,au916
b3684,au1254
b2916,au436
b3369,au1310
b980,au848
b676,au827
b3067,au1369
b3557,au1471
b2154,au1345
b3813,au1376
b101,au704
b42,au502
b76,au677
b2064,au699
b1093,au1211
b3100,au303
b3695,au1305
b3167,au255
b1674,au853
b195,au1237
b2964,au780
b3018,au1276
b2462,au1539
b1861,au1144
b2556,au888
b3132,au364
b1108,au1193
b594,au846
b305,au1015
b852,au929
b2187,au1283
b484,au1457
b2372,au936
b2211,au1216
b1550,au764
b1800,au1427
b3823,au1438
b2425,au405
b3279,au515
b2330,au734
b3197,au109
b1277,au464
b1916,au1033
b1442,au768
b224,au1104
b3410,au833
b3885,au1311
b3068,au612
b3659,au1209
b2008,au843
b2403,au339
b3499,au1548
b2366,au809
b3127,au161
b2565,au914
b2565,au1451
b2565,au337
b3726,au1384
b3521,au617
b1607,au1200
b1949,au1040
b3818,au1329
b3349,au1032
b2795,au647
b966,au1281
b889,au427
b2546,au468
b217,au557
b3011,au389
b1977,au563
b3908,au798
b2383,au1152
b2787,au1097
b3406,au960
b2744,au44
b1370,au1465
b3530,au323
b3477,au831
b207,au958
b808,au250
b596,au931
b1366,au229
b1226,au1290
b2893,au975
b2231,au59
b3697,au706
b1412,au255
b3241,au1041
b2014,au317
b3746,au1038
b2642,au929
b2550,au1221
b1452,au920
b2688,au374
b3748,au274
b3554,au1305
b200,au1324
b1801,au698
b3398,au128
b719,au799
b647,au164
b2830,au1265
b1163,au419
b932,au723
b1623,au1087
b2905,au975
b1903,au402
b1915,au470
b2016,au144
b1857,au551
b147,au262
b2896,au71
b2265,au1419
b1787,au1003
b2955,au1241
b2750,au135
b2317,au482
b3958,au887
b332,au898
b2680,au600
b3757,au115
b3757,au92
b2701,au576
b2524,au330
b3468,au1306
b2477,au112
b3825,au738
b2655,au613
b3475,au586
b152,au1212
b3118,au1437
b339,au1308
b3441,au1445
b3441,au1175
b1561,au1527
b2035,au734
b943,au819
b597,au1303
b3317,au247
b1450,au205
b605,au787
b3419,au99
b3595,au763
b3595,au876
b3228,au410
b859,au604
b2448,au375
b3708,au1438
b3267,au225
b439,au555
b439,au372
b1810,au1437
b1344,au949
b3216,au252
b3274,au939
b1368,au1234
b3909,au433
b43,au1183
b2207,au1499
b2121,au160
b3081,au881
b2891,au621
b3584,au1497
b23,au451
b736,au675
b2202,au707
b2607,au62
b618,au302
b1664,au1126
b1664,au390
b3704,au100
b2947,au875
b3446,au346
b1879,au1555
b456,au308
b3236,au739
b2216,au1089
b1878,au775
b2139,au1471
b3194,au986
b2284,au1554
b3343,au670
b1513,au627
b1221,au1267
b3590,au1387
b132,au550
b3693,au113
b3577,au1180
b3199,au762
b2318,au1447
b908,au11
b3341,au448
b1865,au624
b628,au1528
b1743,au365
b629,au255
b3273,au231
b90,au312
b1673,au184
b2753,au469
b1627,au859
b531,au881
b1697,au9
b201,au496
b7,au1083
b2027,au164
b3065,au140
b1672,au612
b2731,au720
b989,au1250
b3567,au745
b114,au1285
b3456,au1265
b3182,au1500
b2760,au504
b3891,au1179
b111,au742
b474,au512
b2700,au403
b3901,au1320
b588,au1424
b105,au205
b1289,au896
b1509,au1101
b1252,au677
b1343,au761
b3033,au1099
b2990,au549
b987,au707
b2619,au1048
b3967,au566
b1730,au137
b1404,au1510
b3689,au643
b3689,au580
b3394,au1289
b326,au1188
b2873,au743
b2873,au1102
b3298,au225
b2040,au1379
b870,au11
b716,au1471
b3793,au677
b1227,au460
b140,au1043
b3668,au561
b2373,au125
b3957,au1438
b1085,au338
b2757,au689
b1346,au1194
b753,au87
b1395,au1438
b3851,au439
b3453,au1103
b2729,au1517
b679,au848
b146,au1337
b3321,au708
b1603,au482
b2490,au799
b3344,au1505
b2755,au1203
b2159,au23
b2841,au954
b1527,au1139
b109,au973
b2635,au952
b1585,au225
b3640,au93
b269,au1147
b3975,au1041
b3822,au1480
b2958,au368
b2689,au905
b2689,au373
b3850,au521
b3933,au1188
b2957,au629
b3284,au151
b3490,au541
b2909,au731
b1525,au728
b54,au1390
b1005,au1063
b857,au1243
b978,au1534
b904,au1394
b2026,au132
b3899,au550
b3044,au903
b3355,au380
b1339,au1528
b1935,au50
b3949,au1347
b342,au1188
b3959,au1188
b183,au370
b2738,au47
b720,au356
b1147,au482
b2813,au670
b3434,au76
b1109,au209
b673,au346
b3412,au854
b3626,au1532
b3253,au418
b3514,au956
b3031,au346
b883,au1438
b1601,au784
b2551,au21
b137,au133
b3817,au872
b2141,au697
b2370,au581
b2039,au95
b1754,au1157
b2199,au1517
b3396,au954
b2106,au1034
b3102,au1438
b2250,au595
b3138,au707
b961,au1540
b1778,au1490
b3542,au184
b760,au479
b107,au1342
b3202,au356
b3559,au44
b2949,au565
b2428,au905
b2428,au373
b288,au186
b2987,au370
b2785,au67
b3083,au1278
b136,au400
b3984,au1438
b1965,au1093
b3210,au1515
b1161,au1473
b2885,au509
b1586,au879
b3750,au752
b2355,au591
b2191,au1282
b3423,au457
b2161,au239
b906,au447
b488,au501
b2956,au102
b2311,au312
